mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension,target
8.218196163649386,19.334674940037104,114.32238862448955,399.9302281727162,0.12806354193686237,0.220473999087241,0.24356317080229511,0.04128619618737098,0.21392413140481797,0.07147314812528377,0.49180642412937803,0.6862867348643589,4.256265646711912,30.95951952119795,0.010470012205960322,0.012862259734147308,0.28014773740328924,0.03335284904577506,0.05697032718978797,0.017743082002688555,19.78924472071985,23.574546515642957,113.52218764447129,675.031611551378,0.1336164324040912,0.4689400253363754,0.9306980383107515,0.1023646136707291,0.2954887670826494,0.06141794308212323,1.0
15.516750688975678,32.51011066273095,105.77747212820326,763.0659404955665,0.08018342477625663,0.1809943518275299,0.16479181980038418,0.055322594527340764,0.20864233181746422,0.06430047496340471,0.6433106075999672,2.792199506463003,4.488772176179748,9.131753690999039,0.01369035900751294,0.05533674414367043,0.35333933422939,0.018344846022757866,0.028892548013715817,0.002384954932085536,19.049838497159286,32.035367889457376,79.22310248936252,986.1793315825016,0.19791264672448627,0.29542770149557646,0.3636941117797459,0.013626453889653672,0.2228435349977943,0.12047539920105141,1.0
8.916266705047825,10.81728375265848,78.76361467569419,523.474033685493,0.13945313088431305,0.13888407449865922,0.25945853445847566,0.07941756821763135,0.2505041944060708,0.09261756092286162,0.6588224885864945,3.198168070186601,4.719077994335217,12.916766394686189,0.0029990453208689786,0.09542911116145526,0.38175175926202165,0.041835686046438246,0.04480482088817492,0.018123498606763915,12.63074073384946,17.61776723595269,125.39992006323916,660.8751826017472,0.16743885895907928,0.5630247763444403,0.29124199036254,0.1109567497908804,0.41678656022561156,0.06894429254148454,1.0
11.447585810647034,9.885606709657608,77.26637252261027,246.47053806524536,0.09309212448068216,0.10034664850066749,0.12234462253336474,0.02381823550851237,0.20982329814222844,0.07669263248144319,0.3063383387539611,3.902953781026861,1.8420147279814851,42.209237744023426,0.010665636250008485,0.02122364105557458,0.25665571791443287,0.04590325771666577,0.011512788658443183,0.02748212300603651,10.991593912381736,23.59518134541298,126.33817439427163,344.92967229508747,0.13443688542492288,0.5081107689833723,1.11733626032002,0.0623141677299656,0.37593084506391783,0.11018166556734932,1.0
14.951541985896963,14.764248880041901,44.67567454679921,734.1289111773261,0.09141815244792648,0.21989074869243874,0.2930277853464159,0.06020003434608616,0.20913186041326493,0.052596255223193965,0.865314713670884,1.7411721358056214,2.5187269216959836,65.51096488332598,0.01999030349140776,0.030239814841629516,0.09339321318339311,0.007968431970351844,0.04483572919837585,0.006599912349383947,11.54705534723725,17.633571098698585,122.58584990282938,854.501236514451,0.11071646656452022,0.4014569272824525,0.8202510742483303,0.10021509294075404,0.226749720687426,0.14812672176061714,1.0
7.591585994303461,31.780147010196806,50.53702254538505,167.02366406946524,0.06122294868953663,0.21699501634399268,0.21033181183895655,0.03957367646075488,0.27220423045009146,0.062352965183972785,0.5637762082402806,3.611172202870382,3.6262878301696553,27.173189275180643,0.003692452118086824,0.08726603489732492,0.3139640915757726,0.02540829805229025,0.010903505283613666,0.014234044650990294,19.56757812728302,23.37229828009236,109.74546512757371,206.6356273246674,0.13018461065361742,0.06474229899767468,1.1491225416401631,0.15759511887739944,0.35845980713184245,0.08184041225499546,1.0
16.956975617947734,10.327521711823739,57.898941852703075,316.26380761019055,0.13505880014220703,0.07148041967351526,0.10702489601719921,0.048998816267997354,0.11831589606569845,0.08536026993817546,0.7587924942607759,2.9369744330484857,1.019994285883697,35.52528838480591,0.011416045556052528,0.023755208346677836,0.3620678280507043,0.04204680003905941,0.059977377954901635,0.024254340629322683,13.461352383412397,15.394560228520039,110.3020565149248,943.7776668362098,0.13616512172698844,0.4666727586648399,0.5211745514569701,0.1661409631315531,0.1892776336599756,0.12860287782667687,1.0
8.213561152216565,27.716183978369813,57.357291919461616,722.9847293340671,0.16106932732112664,0.119680215316334,0.1503767848462114,0.04451556667705354,0.20978453631100094,0.08969287397058259,0.564673143959455,0.43111179033444963,2.843628170424267,18.390229602623958,0.00671741362516966,0.06012618915853041,0.12342364086989598,0.011807101111672354,0.040038582381818996,0.008703948748201327,15.508207391414764,21.4289775149162,74.20149080229385,443.0641416298813,0.10100483749534983,0.21627030002756018,0.08114307000844892,0.08657665578574046,0.17562539564336208,0.08952136123873725,1.0
13.347248864636011,28.206854011697985,53.41376425977225,990.1139940372668,0.14780216631912033,0.17347726060467172,0.3706645762140779,0.006783022118741507,0.23077105677244178,0.08037590063500563,0.3217044585217354,4.232385795636554,2.887628860140089,51.91506391145065,0.009040607841143694,0.0851943679450623,0.14731949532982325,0.033652596208063136,0.04719204876380248,0.02081381690709567,18.507559661591166,16.10718221451836,53.84145289899934,572.4053237052317,0.13267495299099868,0.30281674163665934,0.11064867870366554,0.11430275622600931,0.3688981509896069,0.12601478328291502,1.0
8.084427844599448,13.144728001828375,90.19530389395212,758.1521860895205,0.1532907698741432,0.12254570326681186,0.04670851117327125,0.007713836458876544,0.27184523164480767,0.05794756836424528,0.7815158660548137,4.810547206486963,4.616780518311301,68.65940476927801,0.012368008895828456,0.08045353485760141,0.04606809658528723,0.033611488660291636,0.017738868740844606,0.02885426230622934,19.133890274368195,41.47102935167688,117.85957407633211,495.00507137988484,0.11591933657775583,0.2913337310452314,0.8744243472461981,0.1434788614633242,0.2152895580533145,0.12894465369888375,1.0
14.875175625872092,29.640200281338448,108.57400350270464,925.104048560945,0.09913079037930247,0.11761870019182469,0.20002137136921225,0.06410637048806572,0.12639872570391966,0.06660255757288672,0.33550275549572844,4.360412501731022,1.1796952281536446,27.540361411628698,0.014628237929785287,0.013576362086973607,0.3589411976277958,0.034520051534809144,0.02126083228011294,0.028918398244910243,17.508009503067406,16.294448370482908,98.72311968399745,848.6903084207277,0.10877120537393473,0.4759496255397858,0.0193838785404445,0.002922997468321095,0.3462500711132386,0.10145477783025682,1.0
13.433448612428844,18.88240976273373,90.47886722774973,743.5929131276839,0.062492008548550956,0.13864546379373344,0.24929951363254424,0.04912483965631688,0.1606589306186852,0.0764677600945053,0.3757269813648838,3.191524470275276,3.4665820054922776,12.423074641879523,0.017545442880327097,0.009309787934771555,0.06524781670927035,0.03230501154020476,0.05515526102487662,0.029549694488008156,18.079737887975984,25.906526470635143,58.09705108020519,1137.6901067261863,0.09313792048823383,0.2288788623008613,0.6312042350066012,0.06977403157820791,0.1645501471690162,0.10597062165270091,1.0
13.431077360054353,29.007981207194828,110.78012559460242,986.6332624072191,0.14721802935304484,0.024264007309258238,0.3248108866088764,0.03759792768200006,0.18043464404605034,0.06372982872312812,0.8267769105836581,4.608929345513373,4.157048431671077,49.98426165598263,0.019078476816282226,0.06528680755238078,0.14739624838550763,0.019414811200196908,0.05740246482073972,0.0024659559735150842,10.568449715678927,12.694159928658774,108.2570602845107,1181.5527029304021,0.07282560938992738,0.2858941636768828,0.3137714202671317,0.12206689327198433,0.21649533265768595,0.13546024237963733,1.0
7.295141933151666,13.661984925877505,44.40919162834328,527.2990924514443,0.07773955600153554,0.045126563663921815,0.23798474528553906,0.017238249777170804,0.13126083634864394,0.0549600140684922,0.44273125056166435,2.3155484581907064,4.171305433606571,51.46266757290528,0.021451511667736435,0.0287895420855122,0.2770917034172793,0.003275276784752853,0.057190672086616746,0.00606701418057631,14.314353712691881,17.87940504184885,88.94587149628583,186.65535299927907,0.11148764132016384,0.3055911141667055,0.9269039218580084,0.06457332800981036,0.19016399480140841,0.08201863127587783,1.0
9.784054084629364,19.701100560273996,66.1267626906868,711.0439494851322,0.08762945893867521,0.1899913069457571,0.3942491165544861,0.05233764984683401,0.1506189830063236,0.07692380658173391,0.2417775724918247,4.815824013561621,3.119073788465322,60.386274581765356,0.006427768599621215,0.05831879507734251,0.14094309277613148,0.039480114471594746,0.06132124532464336,0.0034483243431183766,8.427557575820316,40.66679817256585,65.25785852791495,652.7758064664671,0.1257950761699536,0.4144192398055068,0.6324969518319532,0.009305027454370559,0.3094148703279477,0.08602137922844336,1.0
7.434746554066723,13.992732330988998,90.46490413128546,181.93524682184128,0.1270387176573517,0.06394447116092186,0.4087608006095857,0.04720909335212716,0.2579894020453795,0.09013517237665167,0.6640868335087938,4.022355240152232,3.7003517956153424,35.38008916268696,0.02102929856393807,0.0062572220879432705,0.0707571157884912,0.028691828676510826,0.021207199712680883,0.014015300569040934,9.987584146879236,13.51475998090431,82.33148870783563,833.1539921508743,0.07537356113509178,0.4191940960915898,0.6161073604041962,0.051033840545207626,0.18741027957155162,0.14321592792031138,1.0
12.917874499727882,16.532776996628122,76.78959302327917,334.2112785931246,0.12891404565436337,0.19921812832324232,0.3169916543098516,0.03913252863091233,0.12832731872854022,0.08207882165017714,0.12167994943337118,0.6934815606375524,0.946628812922967,24.14443817005364,0.010516476391462692,0.0109684285130481,0.3140965398650259,0.050840567394718796,0.010082777172476876,0.027811471923313336,10.119809240807543,17.362210657389262,118.8832898020127,937.9935046553671,0.11516342434712351,0.22044280823433093,0.7780333129074504,0.10963614061110036,0.18463530680647477,0.07572939131284628,1.0
7.644525018758104,10.934259499886066,113.63691606476314,880.1045007437922,0.11925651422626585,0.08254294117883543,0.2820986259471619,0.028646440359297323,0.25377477132810955,0.08190801950791748,0.368373011112412,2.2232067232901085,1.3770689081633034,8.622818870867508,0.011707495246187999,0.09470815985962766,0.17763403349368856,0.015062762562185061,0.02540278430376046,0.010006608503053432,8.05709313878642,17.04298841018531,77.56180361766855,922.0385953542827,0.14457114888889158,0.18561851466734944,0.025776368977227574,0.009639617879546055,0.16861831411454806,0.14263314531371815,1.0
13.564469661944237,12.655675409713924,56.67036132160099,505.6228028101696,0.14703645041327618,0.14360830452843504,0.27062369506194855,0.05531954905649002,0.10837228980353644,0.07291751029674348,0.3883513433911898,3.399515921749951,4.674220991044736,25.173078057087228,0.012679123032437026,0.10548565633102155,0.3219299814344408,0.03225904303459185,0.03636115674631656,0.0281297391964124,11.90434643724467,17.62219499744504,82.55399754228107,983.3815627712925,0.07870586658089794,0.06957966051433571,0.3640264393780409,0.1457599393551561,0.30241546820948306,0.055452561968660746,1.0
8.172287100100817,18.06919417275772,64.40149835910552,955.0193021894183,0.11873834378955644,0.21566132661318202,0.048679403376129006,0.03750660730398638,0.1819913318219465,0.061084490178820436,0.7593607019966515,0.9568712340186494,1.688376835636903,8.972578627540756,0.002303022104466216,0.07016620427950786,0.05327281708551198,0.03590246193805547,0.05458918582064134,0.009137648062836283,14.018428293110624,14.500392102803382,82.94259834207905,199.06053751532585,0.07692405951440157,0.2999748787334111,0.574244583102981,0.11250478208821997,0.281965316444131,0.1408079679592762,1.0
17.19415716466846,11.847580606665627,107.75087151151854,920.6345116018468,0.15828520589083753,0.0480219388242264,0.3173492547128612,0.000323871057887585,0.13922987929051023,0.08379929561093383,0.17061974445290984,1.853367486040656,2.439920251012486,61.17944091607262,0.010282878591608067,0.06446242212832479,0.3455214490538336,0.03861755581288755,0.030470880194879507,0.010859519163582436,13.531110613539823,27.69398819837712,105.81380854793235,368.64176038385494,0.13754934437644256,0.11664406001818342,0.8130825658485805,0.1645026699663201,0.27058052421631573,0.09121441030250807,1.0
15.988264974678641,18.868710417017876,89.25859170730948,675.0219147254404,0.12276729539017253,0.027855442915884977,0.08730437752451166,0.017574621798603796,0.24180781399676438,0.05557006563848783,0.8652624671261933,2.589530916915748,1.6420564732438487,24.123348558763812,0.02059401786614005,0.07062567688234879,0.2941209518403051,0.013623622531912783,0.044429766039621746,0.012465759010181127,18.56752813532991,16.71103822416284,51.955471117104366,733.1177213787942,0.17775130872778067,0.04391386637439429,0.24772097704652252,0.1711734642060221,0.2606400416960798,0.08246124186048953,1.0
11.479039125223009,26.27282734780918,56.60979246823068,622.4575031256869,0.12168246471607985,0.09454785302105911,0.016935403848444476,0.08218671238783706,0.14991154346182958,0.06368673651966425,0.561351646142032,4.7575201968685334,1.0396178402229017,11.757437635885674,0.008930885756709214,0.10354154263840072,0.18744571690164327,0.032880798759100556,0.04672418677401752,0.013359254426995256,7.96735232188297,39.910849771661404,84.18307075093075,909.2502176720691,0.18587651442367392,0.2762083773297652,0.933858492705776,0.13628569622089975,0.2774147307624792,0.12433581119758028,1.0
8.71486876114841,23.96389922546913,101.58770352721419,148.30411768237977,0.06222668118832905,0.05171437175704553,0.04188532232932842,0.05826851488421518,0.20643492109676126,0.06581448183774805,0.42640971602217903,0.3815295936789622,4.543038120241692,41.5465606523632,0.011129475149848812,0.03689776465818377,0.2297613185904341,0.0006069571757537311,0.029259444584813575,0.006376056330278273,14.769597103409193,13.549497855211788,58.598341658345575,342.2095940791008,0.09385488112634661,0.34837947353676335,1.0795728351461344,0.03301588591127626,0.276459394293739,0.060516102406216354,1.0
7.4221511165640734,29.98508922886102,82.01641955595349,940.6948586906284,0.07014336459756024,0.18239263574658007,0.04474843862374225,0.0498935391296581,0.22067257047370567,0.06940702050232588,0.5577867571238138,2.636903195882927,2.868766447651526,42.14183668906575,0.005390258420268674,0.05831652289138786,0.10761982284580204,0.004881328005904699,0.015041060748584429,0.020339042054727845,13.096068883923067,33.43640538940501,66.72903351230786,976.4336325896982,0.11770791269909403,0.2729494695442949,0.2659358979441573,0.05815815489562803,0.35772138586759017,0.1303209721361002,1.0
14.537607617456105,11.275926172726928,60.274721344511136,237.92298219450987,0.11148697627105056,0.09219986702881375,0.06116132629182829,0.016010612974639342,0.17812258546729703,0.06270831055386264,0.8222120637205381,0.6411190045545703,2.6105332522138176,61.18659032027175,0.003694223565549863,0.07615507742846073,0.18697140952878788,0.0309202342882297,0.01564247381721041,0.01230896133919337,11.959231717123203,40.04733613227603,75.79410114938835,471.7251750123382,0.1010537306349136,0.3699117838781729,1.1411653709877874,0.09780026665989774,0.31121539878333926,0.0983863038263071,1.0
8.923988643793033,29.510095286364596,102.16096455201766,829.6937342424915,0.09798715805289415,0.1846146304831598,0.4078477955314403,0.05990684827252471,0.21601064616500643,0.063248271744465,0.6578206743553308,3.6660832403209622,2.4961150897025592,61.4350854425124,0.012231892944208766,0.03193042725532192,0.24109185364065702,0.017405644220481443,0.024608298849191884,0.0025753428917469254,17.398060806485553,16.691752562118698,87.23054384947686,637.0088822249941,0.10443066792609734,0.07124502709747281,0.037352198618827805,0.056561690521471954,0.2182874137177349,0.08182877150900231,1.0
14.056962252365029,28.175896068915876,71.66710110909148,225.19658657689973,0.16159194742449404,0.206995501260188,0.12190825765700455,0.018297997127467228,0.1093728976516426,0.09496466258581107,0.6270944227864081,4.397788224478767,0.8368466137012739,70.79880215282219,0.002694254504169543,0.04835474051943063,0.001745397119020325,0.03615598142016494,0.03715915677973951,0.009710996952200174,8.28354961551334,14.906012331999142,119.90984190751304,1204.286572755399,0.16414281352897675,0.028877876982607152,0.4875320777329802,0.03095978950463073,0.3528514361408708,0.07817269213467243,1.0
16.832835583899588,25.657059236936277,102.11521607226092,699.6115300789702,0.09491675918406342,0.054023680201731185,0.12392425488668102,0.06583829473099226,0.24560978459049293,0.06481843611662733,0.427247109246275,1.2750052602773598,3.3768342055454763,23.67172352910477,0.010201272036955528,0.08093549957527013,0.007486032103808418,0.029888312019140377,0.019040669650301503,0.00666549247897432,9.287053517777506,34.51039296959295,76.83408867421076,1150.0588135695539,0.188123675247931,0.430069532643209,0.8711996113846632,0.09060350241080413,0.41531839742393406,0.06578847951022175,1.0
15.87722924282011,19.197670499797546,66.25131838282879,361.3177972149709,0.07512871215716017,0.025500069773155914,0.14179417462852753,0.03103729346327302,0.16082952797622055,0.057247774905386746,0.7839398040132136,1.9581275674433571,3.775914083661567,62.8780628664822,0.017169678668419612,0.038754384752312125,0.26607691544893597,0.027704749679759708,0.035212888741417855,0.022747669862548062,14.476118087407961,24.39445764106297,64.14147286171536,1142.4680513732592,0.11999707196502142,0.14408986438466412,0.43303219758188205,0.15066003250743523,0.1790577233075991,0.08195254659991358,1.0
14.208401127705171,20.279248090262165,94.39850170893689,861.2964392160457,0.14277799675855735,0.07855321050319433,0.3689909396611717,0.01882173335271041,0.18131721210294313,0.08540797862408625,0.1838499831103516,2.3985861995085114,1.1482072242040116,64.95184155696768,0.017911294243333646,0.08720317788233665,0.31261957144279834,0.05151432958975598,0.015707092083452195,0.013643827030405288,17.330150165246827,36.68695796421244,126.48471809273894,1183.1861326453875,0.17972307793048592,0.3354419085652276,0.530694911230466,0.02184377214842176,0.16504432828059004,0.10045544847772225,1.0
17.84147451784765,11.346028282101383,46.10209927329767,723.061036561653,0.14944213154836428,0.19286934647319615,0.2736557607695948,0.034001070462611485,0.18829288117777254,0.06795819332928549,0.6657660300336914,0.5105731677635552,2.341303564860375,36.51478783666229,0.010683129254846078,0.049187956381925135,0.17265087874565374,0.022199394170662724,0.06037507826709854,0.028725775376698497,14.282573047499646,28.03610704866771,106.9104625774848,197.53991488747445,0.18647828386548151,0.34232943650181696,0.34722476309180944,0.09784083501256427,0.27300300481133155,0.06976344808652596,1.0
10.179744717984825,25.703652252961028,79.87323535738466,955.2222670126869,0.1293778229986589,0.09040987724568306,0.1629052997378585,0.06737449232974728,0.17724694515599618,0.09484885738176485,0.24038875651086888,2.9236614988780563,1.0910727292363818,27.42721111638523,0.007732372368787223,0.03921258512550377,0.262146776503765,0.03510669468946439,0.05299308554114779,0.007393911737327694,9.312037333442099,13.05869210607023,83.29880910512915,817.4232416009957,0.15531132406116666,0.48188047855552085,0.3318158101654874,0.08980323747102995,0.41316091793030685,0.14435871066648515,1.0
14.401690188984333,22.12959112959218,69.29859070897461,357.12296068684304,0.11319060002722915,0.09658719399905011,0.07522036045652684,0.0691664928886653,0.1930690378843613,0.08735052359472509,0.22568796353627602,3.9333014883042403,2.5194618410621303,7.928478725945057,0.007675109775926104,0.015756607627218762,0.32988211173336585,0.016923507442354345,0.021732177875437114,0.003584938596453593,17.28785399673275,25.847048035787218,64.90906514473845,817.2535752062975,0.1956719945955901,0.5108973854616656,0.3886939793901408,0.009132777596401152,0.374490337174676,0.06647688253162097,1.0
14.484247889130101,18.66947496401273,45.86456145758775,266.96306201608843,0.11125253886129366,0.1453207626133715,0.11408112288454894,0.02398584728836599,0.24337410950302607,0.05381304630618491,0.791138961553547,0.8114370734575598,1.8553332197562327,58.660751100049495,0.016041800988595607,0.045556354560255655,0.007577899380997907,0.049432290210589105,0.04166915961747796,0.0031070813850827576,10.538755350365696,30.176378834594896,91.55294024075991,887.5645623203559,0.14163843489328426,0.3000743216415026,0.41999549055497365,0.059793980181603805,0.31525038447358067,0.1181013328257288,1.0
10.466599983900279,16.284692303868468,60.60254206733585,228.17277954772518,0.10309065666717801,0.20832183042414926,0.2266416720930185,0.067531394883271,0.25177835353368627,0.0862366983106927,0.6353623126127409,2.9958810373317957,3.4234898894458143,70.25125294723262,0.010782812708377436,0.010887959468941225,0.23485228238988212,0.024694648940878878,0.019280146916146497,0.013951924606109868,8.250824171575864,14.529000588856658,85.39666203875395,592.6089857900033,0.17386522474047827,0.4764379730110807,1.24256753681212,0.11109364371990066,0.19819081976215686,0.14771300260880055,1.0
12.778488220951347,10.319599980008482,50.45526386204834,766.2386454201677,0.08230477712282373,0.20533004260056842,0.16691806441773582,0.08426458421720653,0.23615075183723222,0.06392895837256127,0.41263737466023803,3.459579824732128,5.027803752961057,57.049365545427285,0.00430099678400943,0.09004458590459163,0.21736595635937184,0.026308069761807173,0.032931840269868666,0.020858149707994655,10.942518503541955,35.00711478018391,52.001924717803305,211.4285491266181,0.1009216799480879,0.2035936453458757,0.561583004318127,0.10298254499201324,0.26307684261298225,0.07335150024054984,1.0
10.906309394288865,22.05226237875177,59.81549150380107,544.773138431485,0.12211208250753086,0.19231950236868794,0.3419185484317399,0.02154232956394218,0.17642393650872817,0.055902863770561285,0.2656385070082029,2.899650627536577,5.100860550958963,35.97895362281366,0.012282265198429492,0.08440682217627316,0.20420757731298736,0.027041936546984724,0.03161317058593747,0.0110625996584429,19.643138348903747,31.89131408752606,91.41865361469567,1003.8490136655782,0.15780738975999892,0.3853518903130264,0.7158097447839651,0.10463471749215075,0.3465775894374996,0.10242724219769359,1.0
8.9891017939988,29.675677722691564,61.03280921019201,360.82104912488103,0.1610896721836025,0.08987283334662058,0.26203028558381447,0.046739229258864756,0.16572412133404074,0.071647851728991,0.12904867785167712,1.1389944512867076,1.6557883305598413,72.3178420406623,0.016899426863642212,0.008436297510162892,0.32796483809388555,0.018664460215802148,0.016775393715830193,0.0031011536094485946,11.241140218086649,18.126864520656895,110.2909694090668,804.791290381489,0.0966330748919703,0.54128351886747,0.19785074019762997,0.1386771954714827,0.29292445653067145,0.1294919259156981,1.0
12.88993653522931,32.296316620769865,81.50976982917015,891.0787546794352,0.05999095077312796,0.1366611284240649,0.050668585597412434,0.05891517292728712,0.22076778600609276,0.05429225266111066,0.16965221249081372,4.040292929439487,2.140317580675171,40.48487118058121,0.00799229296790766,0.06142921851374715,0.17488865535801937,0.03824280186686263,0.012508879360858358,0.01016174996374664,9.987743331193803,32.88352277589263,87.82429617353327,888.1529154510151,0.18957404992167742,0.070637136322792,0.7944776806692803,0.15164729417078537,0.28136518813191214,0.1412334002147893,1.0
16.435530814465345,28.9975363698312,113.56276006970944,465.6549324338428,0.1447938030459919,0.11806812152722265,0.18419846035108903,0.04370402324655693,0.21631472943128138,0.07957379057223528,0.7626632692120607,2.3388343606808992,0.8326101668824072,57.75641106709421,0.0023381570504343876,0.10465912267096646,0.22923445075052085,0.028979544360748698,0.012441495685830887,0.009677498966817128,19.24168042482637,41.001851827185504,81.75462473492,817.6403227519465,0.10544154031550579,0.04202961140412065,0.9094979061259357,0.11058092940344977,0.216380921793192,0.1007706047335553,1.0
14.82188048429539,32.58325637053616,46.828441756932015,305.98817198499773,0.15534300337868856,0.1471331161588614,0.12266098995697355,0.06709555421191338,0.23938686458994507,0.05561099352449196,0.6549724122670944,2.1200460087288997,4.13794718038862,71.18722901128905,0.002095754327188292,0.01203781789698252,0.3571620429639625,0.016951825552068762,0.015970300119381452,0.004875222818389407,11.475470130581993,37.01424808867327,65.55630383581233,771.6120693585008,0.11200349906371215,0.22265780652627845,0.11002721710263305,0.10465932959002891,0.16473897936696966,0.06592375910084017,1.0
13.446145138010541,28.069083396172413,91.9792880085221,622.7395692572262,0.1523113846113455,0.05836228382408013,0.0963925910815455,0.05489486007689966,0.21799904715439378,0.06097620577389402,0.5587056428496047,2.9500854083863874,1.944467313302428,31.010607145568027,0.009728349737839054,0.04361944549758713,0.2141285548493722,0.034512215495979215,0.05429554809953639,0.025281580676823002,13.624868687241765,37.0472852526548,53.348127257235234,883.8036470456366,0.19747002496348098,0.4195400663617146,1.0589504692672667,0.11843446573659108,0.15744919891168402,0.11945515194039558,1.0
13.994750824916608,32.906733987164465,78.30089382318376,156.56603992251294,0.10950721054943995,0.22377023901069046,0.2897484227638943,0.07484926423231364,0.17153673651085666,0.07067315366727887,0.17878516948803735,1.4033793977724438,2.975111428187681,75.21939821030173,0.007835003369218392,0.022970952238670832,0.30511573985304474,0.04112343222381925,0.03593288939837369,0.029784470107356634,16.537392997351713,34.27773169863958,75.58612133040594,647.7065430273718,0.15164296471345828,0.5628148692447764,0.3894852117644947,0.11248247668787419,0.23407439326533794,0.1145527851747267,1.0
13.50766487830662,32.577919289488975,46.647473066648345,217.42752867988779,0.12419882869758739,0.15938859571382544,0.31068463514174377,0.07026745707077402,0.2599249626897058,0.07916476907117613,0.27233912152436085,2.111559124770184,3.1412409058909865,9.838579796076075,0.0050794709174212214,0.040384225387210426,0.391277129492808,0.052441050088425506,0.019494329226914714,0.02273809121073796,19.10186976028033,36.668489163469665,67.24497620292343,1075.4545124783185,0.12655153249971743,0.4934184240242895,0.7807606251628605,0.13888457326647502,0.30492558221592536,0.11211002480504367,1.0
15.441525040766486,19.42552678456761,47.25866706635121,499.4296112046305,0.06985125006658154,0.1547204322719756,0.10808306408312085,0.070955046347875,0.14196373771991724,0.09342616094585454,0.8028998536471985,4.414655156118477,4.972137924960825,41.36622822318736,0.018390143483004086,0.008832703417528745,0.2689612956235664,0.002074226891605238,0.05827568461162202,0.013178847320723913,9.712912427954011,18.880420673690498,98.86795448375955,426.6340477385642,0.10368221317677281,0.3786771992797028,0.0703484234851165,0.16237532397695612,0.20249027087996513,0.0994106004819435,1.0
13.102584438697162,30.240198477161126,55.92993931772078,709.6953204214312,0.10152209093597578,0.17745133072174551,0.07555314172224635,0.06575651841702944,0.23749620105583108,0.06732843028340345,0.17873779347784563,3.0802546052463726,3.455151335593178,17.85000089390263,0.01240782789283968,0.028427570379152674,0.1616233416547832,0.015281381539693554,0.04444998739946964,0.02047443966654147,11.676263819911185,40.11279441870317,51.19060734964418,344.09454358962915,0.14235313542852324,0.07336089655249195,0.7719868955694116,0.12307464451002921,0.24212511763796501,0.10337679071259157,1.0
8.404974701073884,26.080600340218542,112.64455212625867,514.9977265066493,0.09730101789705582,0.16382752451493982,0.27520973393449366,0.06181183046829888,0.17031237496842952,0.05991344185332914,0.3910810733652998,0.6376022331972366,4.995647446860002,17.25837066616879,0.0024303306349020793,0.017676610381014427,0.013512054831298869,0.04243403201271209,0.012640409632745379,0.007196060122391938,18.370011163802683,40.80877401882947,97.78683163836888,452.7793090701192,0.17991921966267443,0.4165218137188073,1.2132368650240133,0.013982374942405758,0.29121386197494115,0.11267838767766974,1.0
12.512784684489048,17.778220347919667,49.83402410741115,216.21915534044388,0.05263493530068354,0.1513613956089541,0.30422752788358914,0.03091143004165264,0.25876344892038833,0.059161335592547756,0.1570048878219174,4.5084016864796395,3.9083363387077115,47.25578584369555,0.011105661291398379,0.10361147825761408,0.3502351857867232,0.025792051871171104,0.05944805235354909,0.02290025167333516,16.001922121964903,15.199541906472408,67.39765251144483,363.4694315446445,0.19567943280043187,0.18605557405629491,0.6435054101228089,0.06446738430241694,0.37941597980133257,0.05878540357868347,1.0
9.023487527974554,10.453913456469337,65.53855319699994,160.80622071961423,0.14868551755812953,0.12436762530649023,0.3595244665464489,0.0018567549420245401,0.2035799176232807,0.06185859721074923,0.13780563674712515,2.966240862429547,3.559121286580644,75.19472292530293,0.005986523762779727,0.0040180628527668166,0.28016718401428237,0.024157829440117278,0.0276675966682225,0.029730968886431744,16.35373207310135,21.45088192025419,71.75892692305753,660.6519512041166,0.1144368259746733,0.37112276951143247,1.14516713451073,0.08348927034206291,0.18002712388761388,0.14338544891749005,1.0
16.600598955218558,23.796846868887,111.97514446849402,386.05469537418924,0.07266173901248607,0.17103285727477724,0.22224333463976237,0.07473246070534713,0.15428180334356248,0.07933453881607075,0.6589676003065377,4.446055126137013,2.840005802350138,33.42952147352814,0.00202864511021372,0.06171354933146286,0.16821585032051972,0.02000546185656333,0.05980162422919224,0.0022103712155181706,8.028231720148264,40.89381548680584,111.44706611186574,429.2124940526422,0.13042337034872115,0.1607147877923636,1.2370027542733728,0.10593856359912812,0.3172562802694011,0.10347287133163593,1.0
9.182914213421112,22.591219631442605,54.279511266107534,436.96891967460124,0.08095195725130483,0.1841479814597038,0.21097784915733328,0.016968072519134188,0.190981289513084,0.06817439384802877,0.8800515418280069,2.587749902394078,2.615200616045459,72.24763037034649,0.005908361964166657,0.09673003955240274,0.35653062109847994,0.04986286967426525,0.050354258227767665,0.020207352283194455,13.481898513486463,20.364030105864906,105.92820581710036,395.0755316632458,0.11970016295585978,0.2785850869790048,0.5502250723908477,0.06320318812822093,0.2661057742993191,0.13355121660137112,1.0
